1.87E-02,3.21E-02,4.80E-02,5.93E-02,9.14E-02,1.17E-01,1.26E-01,1.54E-01
1.36E-02,2.28E-02,3.52E-02,4.65E-02,6.81E-02,8.74E-02,9.74E-02,1.20E-01
1.01E-02,1.73E-02,2.64E-02,3.74E-02,5.10E-02,6.62E-02,7.82E-02,9.69E-02
8.50E-03,1.43E-02,2.18E-02,3.06E-02,4.10E-02,5.29E-02,6.39E-02,7.81E-02
7.59E-03,1.24E-02,1.88E-02,2.59E-02,3.51E-02,4.50E-02,5.39E-02,6.61E-02
6.99E-03,1.13E-02,1.70E-02,2.33E-02,3.16E-02,4.04E-02,4.80E-02,5.93E-02
6.80E-03,1.09E-02,1.63E-02,2.23E-02,3.02E-02,3.85E-02,4.54E-02,5.58E-02
6.87E-03,1.10E-02,1.62E-02,2.26E-02,3.05E-02,3.89E-02,4.57E-02,5.63E-02
7.01E-03,1.16E-02,1.78E-02,2.38E-02,3.23E-02,4.12E-02,4.87E-02,5.99E-02
7.56E-03,1.27E-02,1.94E-02,2.63E-02,3.55E-02,4.55E-02,5.44E-02,6.73E-02
8.39E-03,1.42E-02,2.14E-02,2.97E-02,3.99E-02,5.12E-02,6.16E-02,7.64E-02
9.47E-03,1.61E-02,2.43E-02,3.42E-02,4.56E-02,5.87E-02,7.18E-02,8.81E-02
1.09E-02,1.86E-02,2.80E-02,4.00E-02,5.31E-02,6.86E-02,8.46E-02,1.04E-01
1.26E-02,2.18E-02,3.27E-02,4.72E-02,6.25E-02,8.10E-02,1.01E-01,1.24E-01
1.48E-02,2.58E-02,3.85E-02,5.60E-02,7.41E-02,9.64E-02,1.20E-01,1.48E-01
,,,,,,,
